1 2 CODE code
3 51 START start
4 83 LBRACE {
5 60 UIDSTAT this
5 60 UIDSTAT is
5 60 UIDSTAT a
5 60 UIDSTAT comment
6 40 NUMBER number
6 60 UIDSTAT i
7 40 NUMBER number
7 60 UIDSTAT j
8 40 NUMBER number
8 60 UIDSTAT in
8 66 ASG =
8 60 UIDSTAT world
8 85 LBRACKET [
8 61 NUMSTAT 0
8 86 RBRACKET ]
8 85 LBRACKET [
8 61 NUMSTAT 0
8 86 RBRACKET ]
9 40 NUMBER number
9 60 UIDSTAT out
9 66 ASG =
9 60 UIDSTAT world
9 85 LBRACKET [
9 61 NUMSTAT 9
9 86 RBRACKET ]
9 85 LBRACKET [
9 61 NUMSTAT 9
9 86 RBRACKET ]
11 14 FOR for
11 81 LPAREN (
11 81 LPAREN (
11 60 UIDSTAT i
11 66 ASG =
11 61 NUMSTAT 0
11 72 SEMI ;
11 60 UIDSTAT i
11 92 LESS_THAN -lt
11 61 NUMSTAT 10
11 72 SEMI ;
11 60 UIDSTAT i
11 66 ASG =
11 60 UIDSTAT i
11 62 ADD +
11 61 NUMSTAT 1
11 82 RPAREN )
11 82 RPAREN )
11 72 SEMI ;
11 15 DO do
12 14 FOR for
12 81 LPAREN (
12 81 LPAREN (
12 60 UIDSTAT j
12 66 ASG =
12 61 NUMSTAT 0
12 72 SEMI ;
12 60 UIDSTAT j
12 92 LESS_THAN -lt
12 61 NUMSTAT 10
12 72 SEMI ;
12 60 UIDSTAT i
12 66 ASG =
12 60 UIDSTAT j
12 62 ADD +
12 61 NUMSTAT 1
12 82 RPAREN )
12 82 RPAREN )
12 72 SEMI ;
12 15 DO do
13 60 UIDSTAT world
13 85 LBRACKET [
13 60 UIDSTAT i
13 86 RBRACKET ]
13 85 LBRACKET [
13 60 UIDSTAT j
13 86 RBRACKET ]
13 66 ASG =
13 61 NUMSTAT 0
14 17 DONE done
15 17 DONE done
19 84 RBRACE }
19 50 STOP stop
